Date,Category,Index
2014-01-31,PA66,
2014-01-24,PA66,
2014-01-17,PA66,
2014-01-10,PA66,
2014-01-03,PA66,
2014-02-28,PA66,
2014-02-21,PA66,
2014-02-14,PA66,
2014-02-07,PA66,
2014-02-01,PA66,
2014-03-31,PA66,
2014-03-24,PA66,
2014-03-17,PA66,
2014-03-10,PA66,
2014-03-03,PA66,
2014-04-30,PA66,
2014-04-23,PA66,
2014-04-16,PA66,
2014-04-09,PA66,
2014-04-02,PA66,
2014-05-31,PA66,
2014-05-24,PA66,
2014-05-17,PA66,
2014-05-10,PA66,
2014-05-03,PA66,
2014-06-30,PA66,
2014-06-23,PA66,
2014-06-16,PA66,
2014-06-09,PA66,
2014-06-02,PA66,
2014-07-31,PA66,
2014-07-24,PA66,
2014-07-17,PA66,
2014-07-10,PA66,
2014-07-03,PA66,
2014-08-31,PA66,
2014-08-24,PA66,
2014-08-17,PA66,
2014-08-10,PA66,
2014-08-03,PA66,
2014-09-30,PA66,
2014-09-23,PA66,
2014-09-16,PA66,
2014-09-09,PA66,
2014-09-02,PA66,
2014-10-31,PA66,
2014-10-24,PA66,
2014-10-17,PA66,
2014-10-10,PA66,
2014-10-03,PA66,
2014-11-30,PA66,
2014-11-23,PA66,
2014-11-16,PA66,
2014-11-09,PA66,
2014-11-02,PA66,
2014-12-31,PA66,
2014-12-24,PA66,
2014-12-17,PA66,
2014-12-10,PA66,
2014-12-03,PA66,
2015-01-31,PA66,
2015-01-24,PA66,
2015-01-17,PA66,
2015-01-10,PA66,
2015-01-03,PA66,
2015-02-28,PA66,
2015-02-21,PA66,
2015-02-14,PA66,
2015-02-07,PA66,
2015-02-01,PA66,
2015-03-31,PA66,
2015-03-24,PA66,
2015-03-17,PA66,
2015-03-10,PA66,
2015-03-03,PA66,
2015-04-30,PA66,
2015-04-23,PA66,
2015-04-16,PA66,
2015-04-09,PA66,
2015-04-02,PA66,
2015-05-31,PA66,
2015-05-24,PA66,
2015-05-17,PA66,
2015-05-10,PA66,
2015-05-03,PA66,
2015-06-30,PA66,
2015-06-23,PA66,
2015-06-16,PA66,
2015-06-09,PA66,
2015-06-02,PA66,
2015-07-31,PA66,
2015-07-24,PA66,
2015-07-17,PA66,
2015-07-10,PA66,
2015-07-03,PA66,
2015-08-31,PA66,
2015-08-24,PA66,
2015-08-17,PA66,
2015-08-10,PA66,
2015-08-03,PA66,
2015-09-30,PA66,65.3
2015-09-23,PA66,65.3
2015-09-16,PA66,65.7
2015-09-09,PA66,65.3
2015-09-02,PA66,65.3
2015-10-31,PA66,62.16
2015-10-24,PA66,62.94
2015-10-17,PA66,64.52
2015-10-10,PA66,64.52
2015-10-03,PA66,62.16
2015-11-30,PA66,61.37
2015-11-23,PA66,61.37
2015-11-16,PA66,61.76
2015-11-09,PA66,62.16
2015-11-02,PA66,61.37
2015-12-31,PA66,61.37
2015-12-24,PA66,61.37
2015-12-17,PA66,61.37
2015-12-10,PA66,61.37
2015-12-03,PA66,61.37
2016-01-31,PA66,59.8
2016-01-24,PA66,59.6
2016-01-17,PA66,59.6
2016-01-10,PA66,59.6
2016-01-03,PA66,59.8
2016-02-29,PA66,59.6
2016-02-22,PA66,59.8
2016-02-15,PA66,59.8
2016-02-08,PA66,59.6
2016-02-01,PA66,59.6
2016-03-31,PA66,61.96
2016-03-24,PA66,61.57
2016-03-17,PA66,61.17
2016-03-10,PA66,59.6
2016-03-03,PA66,62.35
2016-04-30,PA66,69.43
2016-04-23,PA66,69.43
2016-04-16,PA66,67.47
2016-04-09,PA66,63.53
2016-04-02,PA66,69.43
2016-05-31,PA66,64.52
2016-05-24,PA66,66.09
2016-05-17,PA66,66.09
2016-05-10,PA66,68.84
2016-05-03,PA66,64.32
2016-06-30,PA66,64.32
2016-06-23,PA66,64.32
2016-06-16,PA66,64.32
2016-06-09,PA66,67.07
2016-06-02,PA66,64.32
2016-07-31,PA66,68.45
2016-07-24,PA66,67.27
2016-07-17,PA66,67.07
2016-07-10,PA66,67.07
2016-07-03,PA66,69.63
2016-08-31,PA66,75.33
2016-08-24,PA66,75.33
2016-08-17,PA66,74.74
2016-08-10,PA66,73.96
2016-08-03,PA66,75.45
2016-09-30,PA66,70.73
2016-09-23,PA66,71.83
2016-09-16,PA66,72.62
2016-09-09,PA66,73.96
2016-09-02,PA66,70.73
2016-10-31,PA66,71.6
2016-10-24,PA66,71.2
2016-10-17,PA66,70.73
2016-10-10,PA66,70.73
2016-10-03,PA66,72.23
2016-11-30,PA66,76.24
2016-11-23,PA66,74.98
2016-11-16,PA66,74.19
2016-11-09,PA66,79.31
2016-11-02,PA66,76.55
2016-12-31,PA66,92.45
2016-12-24,PA66,84.97
2016-12-17,PA66,84.19
2016-12-10,PA66,79.31
